pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
59.7125,102.825,0.0,top,C201,04023C104KAT2A,,C_0402_1005Metric,100n,smt
63.1125,99.005,90.0,top,C202,04023C104KAT2A,,C_0402_1005Metric,100n,smt
74.0125,91.875,0.0,top,C203,KGM15CR51A106KT,,C_0603_1608Metric,10u,smt
74.1375,97.525,0.0,top,C204,KGM15CR51A106KT,,C_0603_1608Metric,10u,smt
73.1,86.225,0.0,top,C301,KGM15CR51A106KT,,C_0603_1608Metric,10u,smt
60.7375,86.025,0.0,top,C302,KGM15CR51A106KT,,C_0603_1608Metric,10u,smt
75.975,81.425,-90.0,top,C303,KGM15CR50J476MT,,C_0603_1608Metric,47u,smt
63.5125,81.2,-90.0,top,C304,KGM15CR50J476MT,,C_0603_1608Metric,47u,smt
76.65,84.425,180.0,top,C305,KGM15CR50J476MT,,C_0603_1608Metric,47u,smt
64.0125,84.125,180.0,top,C306,KGM15CR50J476MT,,C_0603_1608Metric,47u,smt
38.2,8.6,180.0,top,C307,10SVPS10M,,10SVPS10M,10u,smt
85.0,75.5,90.0,top,C308,KGM05AR70J105KH,,C_0402_1005Metric,1u,smt
25.5,15.2,-90.0,top,C309,10SVPS10M,,10SVPS10M,10u,smt
76.8,75.5,90.0,top,C310,KGM05AR70J105KH,,C_0402_1005Metric,1u,smt
75.75,53.75,-90.0,top,C401,04023C104KAT2A,,C_0402_1005Metric,100n,smt
137.0,58.0,0.0,top,C402,04023C104KAT2A,,C_0402_1005Metric,100n,smt
137.75,66.27,-90.0,top,C403,04023C104KAT2A,,C_0402_1005Metric,100n,smt
136.0,71.0,90.0,top,C404,04023C104KAT2A,,C_0402_1005Metric,100n,smt
150.25,61.75,90.0,top,C405,KGM15CR51A106KT,,C_0603_1608Metric,10u,smt
110.27,64.5,180.0,top,C406,KGM05AR70J105KH,,C_0402_1005Metric,1u,smt
136.75,61.75,0.0,top,C407,04023C104KAT2A,,C_0402_1005Metric,100n,smt
145.27,69.0,180.0,top,C408,GJM1555C1H5R6FB01D,,C_0402_1005Metric,5p6,smt
145.25,76.0,0.0,top,C409,GJM1555C1H5R6FB01D,,C_0402_1005Metric,5p6,smt
149.98,53.0,180.0,top,C410,KAM05CT70J475KH,,C_0402_1005Metric,4u7,smt
150.0,51.75,180.0,top,C411,KAM05CT70J475KH,,C_0402_1005Metric,4u7,smt
148.0,47.5,180.0,top,C412,KGM05AR51A225KH,,C_0402_1005Metric,2u2,smt
147.98,46.25,180.0,top,C413,KGM05AR51A225KH,,C_0402_1005Metric,2u2,smt
109.77,65.75,180.0,top,C414,04023C104KAT2A,,C_0402_1005Metric,100n,smt
141.5,65.025,-90.0,top,C415,KGM15CR51A106KT,,C_0603_1608Metric,10u,smt
128.75,80.0,90.0,top,C416,04023C104KAT2A,,C_0402_1005Metric,100n,smt
122.73,77.0,0.0,top,C417,04023C104KAT2A,,C_0402_1005Metric,100n,smt
114.27,78.5,0.0,top,C418,04023C104KAT2A,,C_0402_1005Metric,100n,smt
143.0,64.98,-90.0,top,C419,CC0402JRNPO9BN221,,C_0402_1005Metric,220p,smt
126.5,50.27,-90.0,top,C420,04023C104KAT2A,,C_0402_1005Metric,100n,smt
132.75,50.98,-90.0,top,C421,04023C104KAT2A,,C_0402_1005Metric,100n,smt
118.75,49.98,90.0,top,C422,04023C104KAT2A,,C_0402_1005Metric,100n,smt
145.77,60.5,0.0,top,C423,GJM1555C1H5R6FB01D,,C_0402_1005Metric,5p6,smt
145.75,63.0,0.0,top,C424,GJM1555C1H5R6FB01D,,C_0402_1005Metric,5p6,smt
108.5,56.98,90.0,top,C425,04023C104KAT2A,,C_0402_1005Metric,100n,smt
107.5,68.77,-90.0,top,C426,04023C104KAT2A,,C_0402_1005Metric,100n,smt
107.52,66.75,0.0,top,C427,04023C104KAT2A,,C_0402_1005Metric,100n,smt
112.75,80.0,-90.0,top,C428,KGM05AR51A225KH,,C_0402_1005Metric,2u2,smt
136.75,79.48,90.0,top,C429,KGM05AR70J105KH,,C_0402_1005Metric,1u,smt
135.5,79.5,90.0,top,C430,04023C104KAT2A,,C_0402_1005Metric,100n,smt
134.275,83.5,0.0,top,C431,KGM15CR51A106KT,,C_0603_1608Metric,10u,smt
137.02,83.5,180.0,top,C432,04023C104KAT2A,,C_0402_1005Metric,100n,smt
110.25,83.5,-90.0,top,C433,04023C104KAT2A,,C_0402_1005Metric,100n,smt
151.0,38.52,90.0,bottom,C434,04023C104KAT2A,,C_0402_1005Metric,100n,smt
134.0,51.02,90.0,top,C435,KGM05AR51A225KH,,C_0402_1005Metric,2u2,smt
124.0,16.18,90.0,top,C501,KGM05AR51A225KH,,C_0402_1005Metric,2u2,smt
125.3,16.18,90.0,top,C502,04023C104KAT2A,,C_0402_1005Metric,100n,smt
106.0,5.72,-90.0,top,C503,04023C104KAT2A,,C_0402_1005Metric,100n,smt
184.27,58.75,180.0,bottom,C504,04023C104KAT2A,,C_0402_1005Metric,100n,smt
195.5,91.48,90.0,bottom,C505,04023C104KAT2A,,C_0402_1005Metric,100n,smt
184.75,63.5,90.0,bottom,C506,04023C104KAT2A,,C_0402_1005Metric,100n,smt
42.5,97.725,-90.0,top,C601,GCM1885C2A100JA16D,,C_0603_1608Metric,10p,smt
42.5,94.225,-90.0,top,C602,GCM1885C2A100JA16D,,C_0603_1608Metric,10p,smt
42.25,69.775,-90.0,top,C603,GCM1885C2A100JA16D,,C_0603_1608Metric,10p,smt
42.25,64.775,-90.0,top,C604,GCM1885C2A100JA16D,,C_0603_1608Metric,10p,smt
42.25,41.275,-90.0,top,C605,GCM1885C2A100JA16D,,C_0603_1608Metric,10p,smt
42.25,36.275,-90.0,top,C606,GCM1885C2A100JA16D,,C_0603_1608Metric,10p,smt
45.5,95.775,-90.0,top,C607,CGA3EANP02A682J080AC,,C_0603_1608Metric,6800p,smt
45.5,67.025,-90.0,top,C608,CGA3EANP02A682J080AC,,C_0603_1608Metric,6800p,smt
45.5,38.275,-90.0,top,C609,CGA3EANP02A682J080AC,,C_0603_1608Metric,6800p,smt
62.1,32.975,-90.0,top,C610,GCM1885C2A100JA16D,,C_0603_1608Metric,10p,smt
79.4,32.325,-90.0,top,C611,GCM1885C2A100JA16D,,C_0603_1608Metric,10p,smt
99.1,32.275,-90.0,top,C612,GCM1885C2A100JA16D,,C_0603_1608Metric,10p,smt
60.0,32.975,-90.0,top,C613,CGA3EANP02A682J080AC,,C_0603_1608Metric,6800p,smt
81.7,32.325,-90.0,top,C614,CGA3EANP02A682J080AC,,C_0603_1608Metric,6800p,smt
101.2,32.275,-90.0,top,C615,CGA3EANP02A682J080AC,,C_0603_1608Metric,6800p,smt
62.257775,64.28,-90.0,top,C616,KGM05AR70J105KH,,C_0402_1005Metric,1u,smt
71.149999,62.28,90.0,top,C617,KGM05AR70J105KH,,C_0402_1005Metric,1u,smt
63.980001,65.439999,180.0,top,C618,CGA2B2X7R1C224K050BE,,C_0402_1005Metric,220n,smt
63.599999,68.075551,180.0,top,C619,GCM1885C2A100JA16D,,C_0603_1608Metric,10p,smt
172.3,50.424999,90.0,top,C701,KGM15CR51A106KT,,C_0603_1608Metric,10u,smt
172.4,47.084999,-90.0,top,C702,KGM15CR51A106KT,,C_0603_1608Metric,10u,smt
174.1,46.729999,90.0,top,C703,04023D104JAT2A,,C_0402_1005Metric,0u1,smt
173.7,50.169999,-90.0,top,C704,04023D104JAT2A,,C_0402_1005Metric,0u1,smt
187.8,46.369999,-90.0,top,C705,04023D104JAT2A,,C_0402_1005Metric,0u1,smt
189.8,52.229999,-90.0,top,C706,04023D104JAT2A,,C_0402_1005Metric,0u1,smt
194.0,48.275,-90.0,top,C707,KGM15CR51A106KT,,C_0603_1608Metric,10u,smt
138.52,28.0,180.0,top,C708,04023C104KAT2A,,C_0402_1005Metric,100n,smt
135.4,30.92,-90.0,top,C709,04023C104KAT2A,,C_0402_1005Metric,100n,smt
111.97,98.95,0.0,top,C801,GJM1555C1H5R6FB01D,,C_0402_1005Metric,5p6,smt
117.45,95.95,90.0,top,C802,GJM1555C1H5R6FB01D,,C_0402_1005Metric,5p6,smt
124.98,102.0,0.0,bottom,C803,04023C104KAT2A,,C_0402_1005Metric,100n,smt
117.0,100.0,180.0,bottom,C804,04023C104KAT2A,,C_0402_1005Metric,100n,smt
121.0,103.225,90.0,bottom,C805,KGM15CR51A106KT,,C_0603_1608Metric,10u,smt
116.0,97.5,90.0,bottom,C806,GCM1555C2A471JE02D,,C_0402_1005Metric,470p,smt
117.0,97.5,90.0,bottom,C807,KGM05AR70J105KH,,C_0402_1005Metric,1u,smt
125.5,95.73,-90.0,bottom,C808,04023C104KAT2A,,C_0402_1005Metric,100n,smt
156.5,95.98,90.0,bottom,C809,04023C104KAT2A,,C_0402_1005Metric,100n,smt
148.5,101.0,180.0,bottom,C810,04023C104KAT2A,,C_0402_1005Metric,100n,smt
142.98,98.5,-90.0,bottom,C812,04025C102KAZ2A,,C_0402_1005Metric,1n,smt
87.25,46.46,-90.0,bottom,C901,04023C104KAT2A,,C_0402_1005Metric,100n,smt
88.75,46.48,-90.0,bottom,C902,KGM05AR51A225KH,,C_0402_1005Metric,2u2,smt
94.0,46.0,180.0,bottom,C903,04023C104KAT2A,,C_0402_1005Metric,100n,smt
94.0,44.5,180.0,bottom,C904,KGM05AR51A225KH,,C_0402_1005Metric,2u2,smt
94.0,51.5,-90.0,bottom,C905,04023C104KAT2A,,C_0402_1005Metric,100n,smt
92.5,51.0,-90.0,bottom,C906,KGM05AR51A225KH,,C_0402_1005Metric,2u2,smt
53.4125,105.65,-90.0,top,D201,ESDA7P60-1U1M,,ESDA7P60-1U1M,ESDA7P60-1U1M,smt
56.0125,103.15,90.0,top,D202,BAT30KFILM,,BAT30KFILM,BAT30KFILM,smt
33.5,111.6,180.0,top,D301,150040RS73240 ,,LED_0402_1005Metric,LED,smt
33.5,108.5,180.0,top,D302,150040RS73240 ,,LED_0402_1005Metric,LED,smt
78.275,54.25,0.0,top,D401,ESDALC6V1-1M2,,ESDALC6V11M2,ESDALC6V1-1M2,smt
78.275,47.5,0.0,top,D402,ESDALC6V1-1M2,,ESDALC6V11M2,ESDALC6V1-1M2,smt
163.0,31.1,-90.0,bottom,D403,"PESD3V3L1BA,115",,PESD3V3L1BA_115-SOD-323-2,"PESD3V3L1BA,115",smt
